[2026-01-13 15:24:04,830 - INFO - Welcome to our custom log]
[2026-01-14 12:38:04,404 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 12:38:04,420 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 12:38:04,422 - INFO - Created directory at: artifacts]
[2026-01-14 12:51:31,654 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 12:51:31,659 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 12:51:31,662 - INFO - Created directory at: artifacts]
[2026-01-14 12:57:39,025 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 12:57:39,029 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 12:57:39,032 - INFO - Created directory at: artifacts]
[2026-01-14 12:57:54,238 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 12:57:54,243 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 12:57:54,244 - INFO - Created directory at: artifacts]
[2026-01-14 14:47:45,749 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 14:47:45,758 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 14:47:45,762 - INFO - Created directory at: artifacts]
[2026-01-14 14:48:20,459 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 14:48:20,465 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 14:48:20,467 - INFO - Created directory at: artifacts]
[2026-01-14 14:48:29,754 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 14:48:29,760 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 14:48:29,762 - INFO - Created directory at: artifacts]
[2026-01-14 14:49:52,135 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 14:49:52,144 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 14:49:52,150 - INFO - Created directory at: artifacts]
[2026-01-14 15:01:12,060 - INFO - Created directory at: artifacts]
[2026-01-14 15:03:54,399 - INFO - Created directory at: artifacts]
[2026-01-14 15:04:02,820 - INFO - Created directory at: artifacts]
[2026-01-14 15:05:57,600 - INFO - Created directory at: artifacts]
[2026-01-14 15:05:57,620 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 15:05:57,625 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 15:05:57,629 - INFO - Created directory at: artifacts]
[2026-01-14 15:05:57,641 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 15:05:57,644 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 15:05:57,646 - INFO - Created directory at: artifacts]
[2026-01-14 15:05:57,650 - INFO - Created directory at: data_ingestion]
[2026-01-14 15:12:21,538 - ERROR - Config file not found at config/config.yaml]
[2026-01-14 15:12:21,542 - INFO - Current working directory: /Users/inamgurung/Desktop/Projects/AWS]
[2026-01-14 15:12:21,544 - INFO - Files in current directory: ['.DS_Store', 'MLFlowWithDagsHub', 'SageMakerDeployment', 'sagemakerexample_accessKeys.csv', 'Kidney-Disease-Classification', 'SageMakerTutorial.ipynb']]
[2026-01-14 15:14:14,427 - ERROR - Config file not found at config/config.yaml]
[2026-01-14 15:14:14,432 - INFO - Current working directory: /Users/inamgurung/Desktop/Projects/AWS]
[2026-01-14 15:14:14,438 - INFO - Files in current directory: ['.DS_Store', 'MLFlowWithDagsHub', 'SageMakerDeployment', 'sagemakerexample_accessKeys.csv', 'Kidney-Disease-Classification', 'SageMakerTutorial.ipynb']]
[2026-01-14 15:14:59,369 - ERROR - Config file not found at config/config.yaml]
[2026-01-14 15:14:59,371 - INFO - Current working directory: /Users/inamgurung/Desktop/Projects/AWS/Kidney-Disease-Classification]
[2026-01-14 15:14:59,374 - INFO - Files in current directory: ['Kidney-Disease-Classification-Deep-Learning-Project', '.DS_Store', '.git']]
[2026-01-14 15:15:13,972 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 15:15:13,974 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 15:15:54,694 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 15:15:54,699 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 15:15:54,704 - INFO - Created directory at: artifacts]
[2026-01-14 15:15:54,707 - INFO - Created directory at: data_ingestion]
[2026-01-14 15:15:54,714 - INFO - Downloading data from source URL https://www.kaggle.com/datasets/nazmul0087/ct-kidney-dataset-normal-cyst-tumor-and-stone?resource=download to artifacts/data_ingestion/data.zip]
[2026-01-14 15:15:54,717 - ERROR - Error occurred while downloading data: module 'kagglehub' has no attribute 'api']
[2026-01-14 16:06:41,496 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 16:06:41,518 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 16:06:41,521 - INFO - Created directory at: artifacts]
[2026-01-14 16:06:41,523 - INFO - Created directory at: data_ingestion]
[2026-01-14 16:06:52,707 - INFO - yaml file: config/config.yaml loaded successfully]
[2026-01-14 16:06:52,712 - INFO - yaml file: params.yaml loaded successfully]
[2026-01-14 16:06:52,724 - INFO - Created directory at: artifacts]
[2026-01-14 16:06:52,743 - INFO - Created directory at: data_ingestion]
[2026-01-14 16:06:52,759 - INFO - Downloading data from source URL https://www.kaggle.com/datasets/nazmul0087/ct-kidney-dataset-normal-cyst-tumor-and-stone?resource=download to artifacts/data_ingestion/data.zip]
